date,description,amount,category,is_discretionary,is_recurring
2026-06-27,헤어케어 제품,14400,뷰티,True,False
2026-06-27,바디·헤어 케어 세트,25400,뷰티,True,False
2026-06-27,쿠션 파운데이션,14700,뷰티,True,False
2026-06-27,헤어 트리트먼트,12300,뷰티,True,False
2026-06-27,스킨케어 제품,6200,뷰티,True,False
2026-06-27,스킨케어 앰플,18100,뷰티,True,False
2026-06-27,홈프래그런스 세트,55700,뷰티,True,False
2026-06-27,바디케어 3종 세트,55600,뷰티,True,False
2026-06-27,샴푸 브러시,5100,뷰티,True,False
2026-06-27,온라인 패션몰 의류,56900,패션,True,False
2026-06-29,색조 메이크업 3종,50700,뷰티,True,False
2026-06-30,프랜차이즈 카페·편의점 음료,11700,카페,True,False
2026-07-01,편의점 간식,2200,식비,False,False
2026-07-01,편의점 샌드위치·음료,5300,식비,False,False
2026-07-01,립 메이크업 제품,13800,뷰티,True,False
2026-07-01,립펜슬,12000,뷰티,True,False
2026-07-01,블러셔,9400,뷰티,True,False
2026-07-01,베이커리 쿠키,5200,식비,False,False
2026-07-01,음악 스트리밍 구독,7600,구독,False,True
2026-07-01,클라우드 저장공간 구독,1000,구독,False,True
2026-07-03,온라인 패션몰 의류,38200,패션,True,False
2026-07-03,택시,5200,교통,True,False
2026-07-03,디저트 카페,2500,카페,True,False
2026-07-03,외식(주점),19000,식비,True,False
2026-07-04,온라인 패션몰 의류,59100,패션,True,False
2026-07-04,의류·잡화 일괄 구매,75300,패션,True,False
2026-07-06,메이크업 퍼프,5100,뷰티,True,False
2026-07-06,티 음료,2200,카페,True,False
2026-07-07,카페 라떼,2500,카페,True,False
2026-07-07,반품 환불,-22200,환불,True,False
2026-07-07,속옷,7700,패션,True,False
2026-07-07,반품 환불,-59900,환불,True,False
2026-07-07,바디 슬리밍 제품,23400,뷰티,True,False
2026-07-07,반품 환불,-10100,환불,True,False
2026-07-08,카페 라떼,2500,카페,True,False
2026-07-08,미니 고데기,16500,뷰티,True,False
2026-07-08,쿠션 팩트,29500,뷰티,True,False
2026-07-08,닭가슴살 간편식,3700,식비,False,False
2026-07-09,카페 라떼,3000,카페,True,False
2026-07-09,AI 서비스 구독,26100,구독,False,True
2026-07-09,단백질바,2500,식비,False,False
2026-07-10,대중교통 30일 정기권,47800,교통,False,True
2026-07-10,카페 라떼,2700,카페,True,False
2026-07-10,피부관리샵 예약금,8700,뷰티,True,False
2026-07-10,저녁 식사,14300,식비,False,False
2026-07-11,프랜차이즈 카페,5600,카페,True,False
2026-07-13,외식(경양식·주점),34200,식비,True,False
2026-07-14,피부관리샵,17400,뷰티,True,False
2026-07-14,프랜차이즈 카페,5600,카페,True,False
2026-07-15,제로칼로리 간식,3500,식비,False,False
2026-07-15,프랜차이즈 카페,3700,카페,True,False
2026-07-15,프랜차이즈 카페,5400,카페,True,False
2026-07-16,에너지바,3400,식비,False,False
2026-07-16,카페 콜드브루,5200,카페,True,False
2026-07-17,편의점 커피,2800,카페,True,False
2026-07-12,미상 지출,25300,미상,True,False
